Species,SB,SM,TB,HB,MB,KN,PE,BR,PA,EL,DU,RB
Ascidia sydneiensis,0,NS,0,NS,0,0,2,0,0,0,0,NS
Ascidiella aspersa,0,NS,3,NS,0,0,0,0,0,0,0,NS
Botryllus schlosseri,1,NS,2,NS,0,0,0,0,0,0,0,NS
Ciona robusta,2,NS,2,NS,1,0,1,0,0,0,0,NS
Clavelina lepadiformis,1,NS,0,NS,3,2,2,0,1,1,0,NS
Asterocarpa humulis,0,NS,2,NS,0,0,0,0,0,1,0,NS
Diplosoma listerianum,1,NS,2,NS,1,1,3,0,2,3,2,NS
Microcosmus squamiger,0,NS,0,NS,1,2,3,2,3,2,0,NS
Styela plicata,0,NS,0,NS,2,3,2,0,0,0,0,NS
