Species,Date,Range
1.ciona,1937,0
1.ciona,1950,1879.18
1.ciona,2000,1879.18
1.ciona,2007,1879.18
1.ciona,2009,1879.18
1.ciona,2017,1879.18
2.clav,2000,306.66
2.clav,2007,1402.12
2.clav,2009,1879.18
2.clav,2017,2047.53
3.micro,1950,0
3.micro,1955,0
3.micro,2000,1051.74
3.micro,2007,1159.1
3.micro,2009,1159.1
3.micro,2017,1327.45
4.styela,1950,0
4.styela,2000,0
4.styela,2007,1159.1
4.styela,2009,1879.18
4.styela,2017,2047.53
