Species,SB,TB,HB,MB,KN,PE,BR,PA,EL,DU,RB
Ciona intestinalis,36,20,20,0,17,0,0,2,0,0,0
Clavelina lepadiformis,30,29,10,24,30,27,0,30,9,32,29
Microcosmus squamiger,0,0,0,0,30,22,0,30,22,0,27
Styela plicata,0,0,0,26,26,21,0,0,0,0,33
